Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,Income
3x-50,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,?,5th-6th,xivorced,?,Not-in-family,White,Male,99,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,Germany,LessThax50K
22-30,Private,Bachelors,Never-married,Adm-clerical,Owx-child,White,Female,60,United-Statxs,LessThan50K
>50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Whxte,Male,30,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Private,Masters,Maxried-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,x0,United-States,LessThan50K
>50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,60,United-States,LessThan50K
>50,Private,HS-grad,Divorced,Craft-rxpair,Unmarried,Black,Male,48,United-States,MoreThan50K
31-50,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,?,MoreThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,38,United-States,LessThan50K
22-30,Private,x2th,Never-married,Other-service,Unmarried,Black,Male,38,United-States,LessThan50K
22-30,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,xhite,Male,60,United-States,MoreThan50K
31-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,xale,50,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,Unitxd-States,MoreThan50K
31-50,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Whitx,Maxe,4x,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,30,United-States,LessThan50K
>50,Self-emp-not-inc,HS-grad,xarried-civ-spouse,Farming-fishing,Husband,White,Male,18-21,United-States,LessThan50K
31-50,Federal-gov,Assoc-voc,Divorced,Exec-managerial,Uxmarried,Black,Female,45,United-States,LessThan50K
>50,?,Assoc-acdm,Divorced,?,Unmarried,White,Female,1,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,50,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spousx,Handlers-cleaners,Husband,Black,Male,40,United-States,MoreThan50K
18-21,Prixate,10th,Never-married,Other-service,Not-in-family,Black,Male,18-21,United-States,LxssThan50K
>5x,Privatx,Some-college,Widowed,Transport-moving,Not-in-family,White,Male,28,United-States,LxssThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Unitxd-States,MoreThan50K
>50,Self-emp-not-inc,HS-grad,Widowxd,Other-service,Other-relative,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Femaxe,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Pxiv-house-serv,Unmarried,White,Female,60,Columbia,LessThan50K
2x-30,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,25,United-States,LessThan50K
31-50,Prxvate,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,LessThan50K
22-30,Pxivate,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-cxv-spouse,Maxhine-op-inspct,Husband,White,Male,40,Mexico,LessThan50K
31-50,Prixate,HS-grxd,Never-married,Transport-moving,Not-in-family,Wxite,Male,40,Unitex-States,LessThan50K
x1-50,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,58,United-Staxes,LessThan50K
31-50,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,52,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Whxte,Male,50,United-States,MoreThanx0K
>50,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Whxte,Male,3x,United-States,LessThan50K
22-30,?,10th,Never-marrxed,?,Own-child,Black,Male,40,United-States,LessThan50K
>50,Federal-gov,Some-college,Divorced,Other-service,Not-in-family,White,Male,40,United-States,LessThan50K
18-x1,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Whxte,Male,40,United-States,LessThax50K
22-30,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,2x,United-States,xessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,?,MoreThan50K
31-50,Federalxgov,Some-xollege,Married-civ-spouse,Other-service,Husband,White,Male,x0,United-States,LessThan5xK
>50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Whxte,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Marrixd-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craftxrepair,Husband,White,Male,45,United-States,MoreThan50K
31-5x,Private,Masters,Never-married,Sales,Not-in-family,White,Male,50,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,Itxly,MoreThan50K
>50,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Hx-grad,Married-civ-spouse,xech-support,Husband,White,Male,40,United-States,MoreThan50K
31-50,Privatx,HS-grad,Widowed,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,LessThan50K
>50,Private,11th,Widowed,Handlers-cleaners,Not-in-family,Blacx,Femxle,40,United-States,Lessxhan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Maxe,70,United-States,LessThan50K
31-50,Privxte,Some-college,Dxvorced,Machine-op-inspct,Not-in-fxmily,Black,Femalx,x0,United-States,LessThan50K
22-30,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husxand,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Whixe,Maxe,40,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Other-service,Own-child,White,Female,35,United-States,LessThan50K
31-50,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Other-service,Own-child,White,Female,35,United-States,LessThan50K
31-50,Private,HSxgrad,Married-civ-spouse,Machine-op-inspct,Hxsband,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wxfe,White,Female,75,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,HS-grad,Divorced,Sales,Unmarxied,White,Female,45,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,xife,White,Female,40,United-States,MoreThan50K
18-x1,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
31-50,Self-emp-not-inc,xachelors,Married-civ-spouse,Other-service,Husband,White,Male,60,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Craft-repair,Husbanx,White,Male,40,United-States,LessThan50K
3x-50,Privxte,Assoc-voc,Married-civ-spouse,Exec-managerial,Hxsband,White,Male,50,United-States,MoreThan50K
>50,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,MoreThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,x5,Mexico,LessThan50K
22-30,State-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,MorxThan50K
22x30,Local-gov,12th,Married-civ-spouse,Adm-clerical,Wixe,White,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,MorxThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Femalx,40,United-States,LessThan50K
>50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,xhite,Male,50,United-States,MorxThan50K
22-30,Private,HS-grad,Never-married,Cxaft-repair,Not-in-family,White,Male,50,United-States,LessThan50K
18-21,Private,HSxgrad,Never-married,Other-service,Own-child,Asian-Pxc-Islander,Fxmale,18-21,United-States,LessThan50K
>50,Private,Some-college,Widowed,Exec-managerial,Not-in-family,White,Male,60,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,LessThan50K
22-30,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Malx,40,United-States,MoxeThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,56,United-States,MoreThan50K
18-21,Private,1st-4th,Never-married,Handlers-cleaners,Not-in-family,White,Male,55,Mexico,LessThan50K
31-50,Privatx,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,12,United-States,LessThan50K
31-50,State-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Adm-clerical,Unxarried,White,Female,40,United-States,LessThan50K
22-30,Self-emp-not-inc,xS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
>50,Private,Some-college,Married-xiv-spouse,Transport-moving,Husband,White,Male,30,Mexixo,LessThan50K
31-50,Private,10th,Never-married,Handlers-cleaners,Not-in-family,White,Female,34,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,MoreThan50K
>50,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inx,Assoc-voc,Marriex-civ-spouse,Transport-moving,xusband,White,Male,70,United-States,MoreThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Japan,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,5x,United-States,MoreThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-Stxtes,LessThan50K
31-50,Pxivate,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,37,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,x0,Outlying-US(Guam-USVI-etc),LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,?,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,LessThan50K
31-50,Private,Some-college,Separated,Sales,Not-in-family,White,Male,45,Unixed-States,LessThan50K
31-50,State-gov,Some-college,xarried-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,MoreThan50K
31-50,Privxte,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LxssThan50K
22-30,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Local-gov,Assoc-acdm,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,48,United-States,MoreThan50K
2x-30,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40,Mexico,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,LessThan50K
31-5x,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Blxck,Male,35,United-States,LessThxn50K
22-30,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,MoreThan50K
x1-50,Private,Bachelors,Married-civ-spoxse,Farming-fishing,Husband,Whxte,Male,45,United-States,LessThan50K
31-50,Federal-gov,Some-college,Married-civ-spouse,Crafx-repair,Husband,White,Mxle,x5,United-States,MoreThan50K
31-50,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,18-21,China,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Mxle,22,United-States,LessThan50K
31-50,Private,Hx-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
31-50,Self-emp-ixc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,MoreThan50K
31-50,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,55,United-States,LessThan50K
>50,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Maxe,60,United-States,MoreThan50K
31-50,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Fexale,35,United-States,LessThan50x
>50,Private,7th-8th,Widowed,Machine-op-inspct,Not-in-family,White,Female,18-2x,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Adm-clerical,Unmarried,xlack,Female,3x,Trinadad&Tobago,LessThan50K
31-50,Private,Assoc-voc,Divorced,Other-service,Unmarried,White,Female,18-21,United-States,xessThan50K
18-21,Private,11th,xever-married,Adm-clerical,Own-child,White,Fxmale,15,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,30,United-States,LessThan5xK
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,55,United-States,LessThan50K
31-50,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,70,United-States,MoreThan50K
18-21,Private,Some-college,Never-marrxed,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Mxle,40,United-States,LessThan50K
31-50,Private,Masters,Never-married,xxec-managerial,Not-in-family,White,Male,40,United-States,LessThan50K
>50,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Malx,50,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,9th,Married-civ-spouse,Machine-op-inspct,Wife,Black,Fxmale,48,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Farming-fishing,Husband,xhite,Male,45,United-States,MoreThan50K
31-50,Private,10th,Never-married,Other-service,Unmarried,Black,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Maxe,40,United-Statex,LessThan50K
1x-21,State-gov,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-xtates,LessThan50K
>50,Federal-gov,Bachelorx,Married-civ-spouse,Prof-specialty,Husbaxd,White,Malx,40,United-States,MoreThan50K
31-50,Privatx,Assoc-acdm,Divorced,Transport-moving,Not-in-family,Black,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-insxct,Not-in-family,White,Femaxe,40,xnited-States,LessThan50K
31-50,Private,1xth,Married-civ-spouse,Transport-moving,Husband,White,Maxe,40,United-States,MoreThan50K
31-5x,Self-emp-not-inc,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,80,United-States,LessThan50K
31-50,Private,Prof-school,Divorced,Prof-specialty,Unmarried,White,Female,35,United-States,MoreThan50K
18-21,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,25,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,40,Philippines,LessThan50K
<18,Self-emp-not-inc,10th,Nxver-married,Adm-clerical,Own-child,White,Male,10,United-States,LessThan50K
22-30,State-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,4x,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Other-service,Own-child,White,Female,4x,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,2x,United-States,MxreThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,30,United-States,LessThan50K
31-50,Private,11th,Never-married,Craft-repair,Not-in-family,White,Maxe,40,United-States,LessThan50K
22-30,Private,Bacheloxs,Never-married,Prof-specialty,Oxn-child,White,Femxle,1x,United-States,LessThan50K
>50,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,MoreThan50K
>50,?,10th,Widowed,?,Other-relative,Asian-Pac-Islandxr,Female,1,China,LessThan50K
31-50,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,LessThan50K
31-x0,Privxte,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,10tx,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Marriedxciv-spouse,Exec-managerial,Wife,White,Female,55,United-States,LessThan50K
>50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
2x-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,MoreThan50K
>50,?,Some-college,Widowed,?,Not-in-family,Amer-Indian-Eskimo,Male,x,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,Philippines,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,25,Canada,LessThan50K
